,ST_NUM,Street Name,Street Suffix,Zipcode,PTYPE,Owner,Property Value,Year Built,Year Remodeled
68,   ,ADDISON,ST,2128.0,317,BARRY JOSEPH T,200000,1975.0,
69,141  ,ADDISON,ST,2128.0,343,BARRY JOSEPH T,607500,1950.0,1990.0
70,143 145,ADDISON,ST,2128.0,317,3B  REAL ESTATE  LLC,558262,1930.0,1983.0
71,   ,CURTIS,ST,2128.0,316,CAVALIERE FRANCIS R GP,258206,,
72,7 11,CURTIS,ST,2128.0,325,CAVALIERE FRANCIS R GP,202794,1960.0,
73,1 A1B,CURTIS,ST,2128.0,343,IBEX  REALTY  &  ASSET,218000,1960.0,
74,100 ,SWIFT,ST,2128.0,341,FIRST PRIORITY  CREDIT UNION,2394000,2008.0,
75,655  ,SARATOGA,ST,2128.0,320,CROMBIE MICHAEL L TS,252500,1920.0,2008.0
76,4  ,HARMONY,ST,2128.0,320,CASSERLY POKYE,378500,1925.0,2013.0
77,525  ,BENNINGTON,ST,2128.0,353,STAR OF THE SEA MENS CLB,181700,1978.0,1982.0
78,6 8,HARMONY,ST,2128.0,343,PETER PAN PROPERTIES LLC,192000,1925.0,1979.0
79,622  ,BENNINGTON,ST,2128.0,320,MARIO JOSEPH TS,92500,1920.0,1980.0
80,616 618,BENNINGTON,ST,2128.0,343,MARIO JOSEPH TS,192500,1910.0,
81,785  ,SARATOGA,ST,2128.0,325,GIORGIONE GRACE A,746000,1972.0,2010.0
82,636 638,BENNINGTON,ST,2128.0,351,VANEGAS ELKIN,131500,1932.0,2016.0
83,16  ,TRIDENT,ST,2128.0,320,POSEIDON TRIDENT LLC,607500,1989.0,2011.0
84,752  ,BENNINGTON,ST,2128.0,328,752  BENNINGTON  STREET,414000,1950.0,
85,1035  ,SARATOGA,ST,2128.0,319,WOOD JOHN G,790000,1899.0,2012.0
86,1041 1045,SARATOGA,ST,2128.0,319,SAID FAMILY REALTY TRUST,281500,1930.0,2004.0
87,   ,SARATOGA,ST,2128.0,351,LOMBARDO SALVATORE A TRST,1551000,1955.0,2010.0
88,1150  ,SARATOGA,ST,2128.0,320,LOMBARDO VINCENT J TS,6122500,1955.0,2009.0
89,1144  ,SARATOGA,ST,2128.0,328,RIZKALLAH CHARBEL,529000,1960.0,2013.0
90,1140  ,SARATOGA,ST,2128.0,343,TINTERTONTAM RLTY CORP,614000,1940.0,2013.0
91,   ,SHAWSHEEN,RD,2128.0,316,AUGUST JOHN J JR TS,533000,1979.0,
92,1023 ,BENNINGTON,ST,2128.0,465,CLEAR  CHANNEL OUTDOOR  INC,97500,,
93,1091  ,BENNINGTON,ST,2128.0,332,R & A INC,438900,1938.0,
94,1141  ,BENNINGTON,ST,2128.0,401,NEW ENG CASKET REALTY CORP,1315953,1940.0,
95,1141  ,BENNINGTON,ST,2128.0,401,NEW ENG CASKET REALTY CORP,1315953,1940.0,1970.0
96,   ,AUSTIN,AV,2128.0,440,NEW ENG CASKET REALTY CORP,68442,0.0,
97,   ,AUSTIN,AV,2128.0,401,NEW ENG CASKET REALTY CORP,1208105,1970.0,
98,1233  ,BENNINGTON,ST,2128.0,326,GRAJALES HUMBERTO,610500,1940.0,1975.0
99,1181  ,BENNINGTON,ST,2128.0,332,ELEVEN 81 BENNINGTON ST RLTY,332000,1940.0,1998.0
100,1240 ,BENNINGTON ,ST,2128.0,437,"METRO PCS MA INC.",293000,,
101,   ,BENNINGTON,ST,2128.0,337,RICUPERO JOSEPH M,41200,0.0,
102,1188 1208,BENNINGTON,ST,2128.0,340,WATTENDORF LPS,1459000,1940.0,1999.0
103,19  ,WALLEY,ST,2128.0,407,WALLEY NINETEEN LLC,397000,1910.0,
104,1012 1016,BENNINGTON,ST,2128.0,320,PATEL JIGNASH N,616000,1925.0,
105,11  ,BREED,ST,2128.0,320,MURRAY MICHAEL F,99000,1928.0,
106,15  ,BREED,ST,2128.0,320,AIMI ESTATE LLC,187500,1935.0,2016.0
107,15 A,BREED,ST,2128.0,320,AIMI ESTATE LLC,187500,1935.0,
108,1006  ,BENNINGTON,ST,2128.0,357,MODICA DAVID TS,219000,0.0,
109,1010  ,BENNINGTON,ST,2128.0,357,MODICA DAVID TS,211000,0.0,
110,1000  ,BENNINGTON,ST,2128.0,326,LUCKY CORNER REALTY TRUST,160000,1920.0,2016.0
111,980 A982,SARATOGA,ST,2128.0,326,MARQUARDO DONNA,479000,1992.0,
112,978 C 976A,SARATOGA,ST,2128.0,320,IRMAS LLC,412000,1922.0,1990.0
113,14 16,BREED,ST,2128.0,311,TODESCA  MICHAEL  J,312000,1922.0,2003.0
114,850 868,BENNINGTON,ST,2128.0,341,EAST BOSTON SAVING BANK,1468500,1965.0,
115,935 935R,SARATOGA,ST,2128.0,319,LOMBARDO VINCENT J TS,3334500,1960.0,2013.0
116,945  ,SARATOGA,ST,2128.0,326,SALVAGGIO ANTHONY M,527000,1925.0,2016.0
117,973  ,SARATOGA,ST,2128.0,320,PISATURO LUCY TS,435000,1920.0,2002.0
118,975 977,SARATOGA,ST,2128.0,320,CAPALDO FRANK A  TS,739500,1899.0,2002.0
119,980 978,BENNINGTON,ST,2128.0,320,LAMPREA JAIRO,159000,1920.0,2005.0
120,974 R,BENNINGTON,ST,2128.0,317,ONE 40 VICTORY RD LLC,148500,1920.0,1970.0
121, ,WM F MCCLELLAN,HW,2128.0,340,480 MCCLELLAN LLC,20285000,2005.0,
122,440  ,WM F MCCLELLAN,HW,2128.0,316,FOUR40 MCCLELLAN LLC,18444500,1975.0,2016.0
123,   ,WM F MCCLELLAN,HW,2128.0,343,GROSSMAN LOUIS J TRSTS,779500,1984.0,
124,   ,WM F MCCLELLAN,HW,2128.0,337,AUTO CITY INC,1532500,0.0,
125,   ,WM F MCCLELLAN,HW,2128.0,395,GROSSMAN BERNARD D TRSTS,3784500,1986.0,1998.0
126,   ,WM F MCCLELLAN,HW,2128.0,387,PARK SHUTTLE & FLY INC,8603500,0.0,
127,310  ,WM F MCCLELLAN,HW,2128.0,314,GROSSMAN MORTON TS,2630000,1980.0,2012.0
128,290  ,WM F MCCLELLAN,HW,2128.0,314,GROSSMAN LOUIS J TRSTS,3701500,1980.0,2015.0
129,240  ,WM F MCCLELLAN,HW,2128.0,314,GROSSMAN BERNARD D TRSTS,3147000,1980.0,2013.0
130,240  ,WM F MCCLELLAN,HW,2128.0,314,GROSSMAN BERNARD D TRSTS,3147000,1980.0,
131,220  ,WM F MCCLELLAN,HW,2128.0,320,BLC PROPERTIES LLC,1975500,1962.0,
132,200  ,WM F MCCLELLAN,HW,2128.0,332,DESIMONE STEPHEN T TRSTS,1110000,1900.0,1965.0
133,251  ,LEYDEN,ST,2128.0,320,SARATOGA STREET PROPERTIES,148500,1912.0,2015.0
134,2  ,FORD,ST,2128.0,332,KATZ ROBERT J,419500,1910.0,1970.0
135,61  ,BOARDMAN,ST,2128.0,320,OLIVER ANN LLC,397000,1900.0,1997.0
136,   ,LEYDEN,ST,2128.0,336,1150 BENNINGTON ST LLC,48500,1920.0,
137,51  ,BREED,ST,2128.0,353,ROSSI KIM C,146500,1920.0,1985.0
138,295  ,WALDEMAR,AV,2128.0,320,PASSE INC,620000,1996.0,
139,111  ,WALDEMAR,AV,2128.0,367,STERLING SUFFOLK RACECOURSE,43266300,1935.0,1991.0
140,5 R9R,TRENTON,ST,2128.0,317,ABIGAIL PROPERTIES LLC,263500,1960.0,1970.0
141,339  ,MERIDIAN,ST,2128.0,356,HUANG GUANG TONG,242000,0.0,
142,106 104,TRENTON,ST,2128.0,320,SHER MARTIN E,193000,1940.0,2014.0
143,73 71,TRENTON,ST,2128.0,317,RICUPERO JOSEPH,346000,1920.0,
144,131  ,LEXINGTON,ST,2128.0,325,GARCIA JOEL,169500,1910.0,2002.0
145,211 207,CONDOR,ST,2128.0,317,TW011-255 CONDOR ST HOLDINGS,154700,1948.0,
146,211 207,CONDOR,ST,2128.0,317,TW011-255 CONDOR ST HOLDINGS,154700,1948.0,
147,215  ,CONDOR,ST,2128.0,332,215 CONDOR STREET REALTY,222500,1950.0,
148,225 R,CONDOR,ST,2128.0,332,CATALDO ANGELO,111000,1992.0,
149,233  ,CONDOR,ST,2128.0,332,CATALDO ANGELO,367500,1910.0,2002.0
150,243  ,CONDOR,ST,2128.0,317,CONDOR CREEK LLC,252000,1986.0,
151,245  ,CONDOR,ST,2128.0,332,CONDOR STREET LLC,241578,1925.0,
152,255  ,CONDOR,ST,2128.0,332,CONDOR STREET LLC,254108,1930.0,
153,28  ,GLENDON,ST,2128.0,332,CONDOR STREET LLC,220313,1930.0,
154,187  ,CONDOR,ST,2128.0,316,TWO-11 - 255 CONDOR ST,289500,1899.0,
155,70 72,FALCON,ST,2128.0,336,MORANI ROBERT J,55500,1900.0,1970.0
156,   ,CONDOR,ST,2128.0,332,PMT REALTY LLC,179000,1930.0,1990.0
157,425  ,BORDER,ST,2128.0,332,WU YOUNG C,228200,1899.0,1996.0
158,335 331,BORDER,ST,2128.0,326,ANDREOTTOLA ANTONIO,238000,1950.0,1994.0
159,4  ,LEXINGTON,ST,2128.0,344,TARBI SALVATORE P TS,389000,1920.0,1970.0
160,279 277,BORDER,ST,2128.0,332,TWO SEVENTY SEVEN BORDER LLC,181000,1920.0,
161,301  ,BORDER,ST,2128.0,407,ROZANTES GEORGE,526500,1932.0,
162,307 305,BORDER,ST,2128.0,332,ROZANTES GEORGE,370000,1935.0,2005.0
163,315 317,BORDER,ST,2128.0,332,ROZANTES GEORGE,338000,1920.0,1970.0
164,321 319,BORDER,ST,2128.0,337,ROZANTES GEORGE,76000,0.0,
165,323  ,BORDER,ST,2128.0,337,ROZANTES GEORGE,38400,0.0,
166,266 268,BORDER,ST,2128.0,400,TWO 66 BORDER LLC,1679500,1910.0,
167,276  ,BORDER,ST,2128.0,317,WIGGLESWORTH MACHINERY CO,1139000,1970.0,
168,282  ,BORDER,ST,2128.0,320,TWO 82 BORDER ST LLC,1268500,1940.0,
169,334 336,BORDER,ST,2128.0,400,FOUR HUNDRED BORDER ST LP,3810870,0.0,
170,362 364A,BORDER,ST,2128.0,400,FOUR HUNDRED BORDER ST LP,2791396,,
171,   ,BORDER,ST,2128.0,337,FOUR HUNDRED BORDER ST. LP,28845,0.0,
172,   ,BORDER,ST,2128.0,337,FOUR HUNDRED BORDER ST LP,54394,0.0,
173,400  ,BORDER,ST,2128.0,316,FOUR HUNDRED BORDER ST LP,1527975,1910.0,1970.0
174,400  ,BORDER,ST,2128.0,316,FOUR HUNDRED BORDER ST LP,1527975,1940.0,1970.0
175,400  ,BORDER,ST,2128.0,316,FOUR HUNDRED BORDER ST LP,1527975,1940.0,1970.0
176,400  ,BORDER,ST,2128.0,316,FOUR HUNDRED BORDER ST LP,1527975,1940.0,1970.0
177,400  ,BORDER,ST,2128.0,316,FOUR HUNDRED BORDER ST LP,1527975,1937.0,2011.0
178,400  ,BORDER,ST,2128.0,316,FOUR HUNDRED BORDER ST LP,1527975,1940.0,1970.0
179,404  ,BORDER,ST,2128.0,402,RTC NEW STREET LLC,2271900,1899.0,
180,404  ,BORDER,ST,2128.0,402,RTC NEW STREET LLC,2271900,1979.0,
181,404  ,BORDER,ST,2128.0,402,RTC NEW STREET LLC,2271900,1940.0,
182,468 470,MERIDIAN,ST,2128.0,333,GLOBAL COMPANIES LLC,1705300,1990.0,2003.0
183,   ,MERIDIAN,ST,2128.0,337,BANG PETER V ETAL,489700,0.0,
184,22  ,NAY,ST,2128.0,441,CONDOR NAY LLC,418000,0.0,
185,32  ,NAY,ST,2128.0,317,CONDOR NAY LLC,639900,1920.0,1970.0
186,32  ,NAY,ST,2128.0,317,CONDOR NAY LLC,639900,1920.0,1980.0
187,   ,NAY,ST,2128.0,337,R T PROPERTIES INC,380943,0.0,
188,   ,NAY,ST,2128.0,337,R T PROPERTIES INC,380943,0.0,
189,   ,NAY,ST,2128.0,337,R T PROPERTIES INC,28112,0.0,
190,7  ,NAY,ST,2128.0,317,PMT REALTY LLC,957500,1940.0,2009.0
191,50 60,CONDOR,ST,2128.0,407,PMT REALTY LLC,694000,1930.0,1971.0
192,50 60,CONDOR,ST,2128.0,407,PMT REALTY LLC,694000,1930.0,
193,62  ,CONDOR,ST,2128.0,343,CONDOR NAY LLC,315000,1910.0,1971.0
194,66  ,CONDOR,ST,2128.0,317,CONDOR NAY LLC,287000,1950.0,
195,98 100,CONDOR,ST,2128.0,316,PMT REALTY LLC,2143000,1907.0,1970.0
196,98 R 100R,CONDOR,ST,2128.0,316,ALDEN STEARNS REALTY TR LLC,4353000,1987.0,
197,   ,CONDOR,ST,2128.0,440,WAXMAN WILLIAM TS,492900,0.0,
198,   ,CONDOR,ST,2128.0,440,N E TEL * TEL CO,921100,0.0,
199,   ,CONDOR,ST,2128.0,440,N E TEL * TEL CO,109100,0.0,
200,370  ,E EAGLE,ST,2128.0,414,CHANNEL FISH CO INC,1787000,1920.0,
201,460  ,CHELSEA,ST,2128.0,420,SUNOCO PARTNERS MARKETING &,7596500,0.0,
202,570 600,CHELSEA,ST,2128.0,316,SUNOCO PARTNERS MARKETING &,29888300,1969.0,
203,610  ,CHELSEA,ST,2128.0,332,BRIDGE  HOLDINGS  LLC,106500,1950.0,
204,135  ,CHELSEA,ST,2128.0,343,GALBIATI ANTONIO,82500,1950.0,
205,169 171,CHELSEA,ST,2128.0,357,RUBIO WILLIAM,127500,0.0,
206,169 171,CHELSEA,ST,2128.0,357,VALDEZ VERONICA,122500,0.0,
207,   ,BREMEN,ST,2128.0,337,CASTIELLO GIOVANNI,50700,0.0,
208,184  ,BREMEN,ST,2128.0,320,ROSAS CARLOS RICHARD,1320500,1910.0,1970.0
209,   ,BREMEN,ST,2128.0,337,KELLY CHARLES J T T,20200,0.0,
210,   ,CHELSEA,ST,2128.0,317,CRISTALLO GUERINO,63000,1930.0,1970.0
211,93  ,CHELSEA,ST,2128.0,343,SUAREZ JUAN CARLOS,285000,1940.0,2009.0
212,9  ,CHELSEA,ST,2128.0,355,LINEAR RETAIL BOSTON #18 LLC,1310400,1940.0,1988.0
213,114  ,ORLEANS,ST,2128.0,332,WE CLOSE THE DEAL LLC,235100,1950.0,
214,158 156,MAVERICK,ST,2128.0,343,SPATARO RICHARD TS,124000,1950.0,1980.0
215,135  ,BREMEN,ST,2128.0,317,ONE 35 BREMEN STREET LLC,1161600,1950.0,
216,172  ,ORLEANS,ST,2128.0,317,MCORLEANS JC FAMILY LP,210000,1910.0,1983.0
217,   ,ORLEANS,ST,2128.0,337,ONE 83 ORLEANS ST LLC,1096660,0.0,
218,175  ,ORLEANS,ST,2128.0,400,ONE 83 ORLEANS ST LLC,1723240,1912.0,
219,   ,PORTER,ST,2128.0,337,BURKE EDWARD TS,310300,0.0,
220,119 119HF,ORLEANS,ST,2128.0,317,SALVUCCI WILLIAM A TRSTS,146500,1930.0,1970.0
221,121 127,ORLEANS,ST,2128.0,317,SALVUCCI WILLIAM A TRSTS,742500,1930.0,1970.0
222,202 204,MAVERICK,ST,2128.0,340,EAST BOSTON MANAGEMENT &,297000,1910.0,1970.0
223,232 234,MAVERICK,ST,2128.0,353,PROGRESSIVE CLUB INC,308500,1960.0,1975.0
224,120  ,GOVE,ST,2128.0,353,FRANKFORT GOVE LLC,1604000,1899.0,
225,67 A67B,LUBEC,ST,2128.0,317,GRILLO JULIO,124600,1910.0,2001.0
226,   ,COTTAGE,ST,2128.0,353,SCRIVO SALVATORE TS,39500,1950.0,1980.0
227,28  ,GENEVA,ST,2128.0,332,DELUCA ANTHONY F ETAL,437500,2006.0,
228,10 A10B,GENEVA,ST,2128.0,337,YEBBA NICHOLAS A TRST,80200,0.0,
229,167  ,COTTAGE,ST,2128.0,300,YEBBA BROTHERS LLC,57853500,2003.0,
230,   ,GENEVA,ST,2128.0,332,GENEVA STREET LLC,43233,,
231,   ,GENEVA,ST,2128.0,332,GENEVA STREET LLC,58720,,
232,   ,GENEVA,ST,2128.0,332,GENEVA STREET LLC,51962,1946.0,
233,37 39,GENEVA,ST,2128.0,332,SOLSKINN PROPERTIES LLC,449000,1946.0,
234,355 ,BENNINGTON,ST,2128.0,317,413-419  BREMEN  STREET  LLC,1259500,1979.0,
235,355 ,BENNINGTON,ST,2128.0,317,413-419  BREMEN  STREET  LLC,1259500,1900.0,
236,   ,MOORE,ST,2128.0,336,MYETTE JOSEPH,30500,1960.0,
237,139  ,COLERIDGE,ST,2128.0,332,RICUPERO JOSEPH M,421000,1899.0,1970.0
238,931  ,BENNINGTON,ST,2128.0,325,S&H FUEL LLC,741800,1970.0,2002.0
239,951  ,BENNINGTON,ST,2128.0,328,LIMA REALTY II LLC,804000,1950.0,2015.0
240,965  ,BENNINGTON,ST,2128.0,326,MUI ANGUS K,559500,1970.0,
241,969 985,BENNINGTON,ST,2128.0,320,SUFFOLK ORIENT LLC,2067500,1899.0,2008.0
242,987 -997,BENNINGTON,ST,2128.0,320,CDZ  REALTY  TRUST,651000,1930.0,1992.0
243,997 1003,SARATOGA,ST,2128.0,357,KHRKHRYAN ALEXANDER   TS,467500,0.0,
244,997 1003,SARATOGA,ST,2128.0,357,BAHJY HASSAN,82000,0.0,
245,1007 1009,SARATOGA,ST,2128.0,307,BOSTON SAWYERS FAMILY TRUST,430000,1920.0,2002.0
246,   ,RICE,ST,2128.0,384,EAST BOSTON YACHT CLUB,265000,1950.0,1970.0
247,61  ,BAYSWATER,ST,2128.0,384,ORIENT HEIGHTS YACHT CLB INC,1399000,2003.0,
248,391 393,MAVERICK,ST,2128.0,317,LANDRIGAN GEORGE TRST,261360,,
249,2 12,JEFFRIES,ST,2128.0,317,LANDRIGAN GEORGE TS,332640,1930.0,1970.0
250,30  ,JEFFRIES,ST,2128.0,404,BASSIOUNI M READA,2259000,1915.0,1950.0
251,565 567,SUMNER,ST,2128.0,384,JEFFERIES YACHT CLUB,354900,1940.0,
252,233  ,MARGINAL,ST,2128.0,384,BOSTON MARINE WORKS INC,9583957,1942.0,1900.0
253,233  ,MARGINAL,ST,2128.0,384,BOSTON MARINE WORKS INC,9583957,1920.0,1970.0
254,233  ,MARGINAL,ST,2128.0,384,BOSTON MARINE WORKS INC,9583957,1920.0,1970.0
255,233  ,MARGINAL,ST,2128.0,384,BOSTON MARINE WORKS INC,9583957,1918.0,1970.0
256,233  ,MARGINAL,ST,2128.0,384,BOSTON MARINE WORKS INC,9583957,1945.0,1970.0
257,233  ,MARGINAL,ST,2128.0,384,BOSTON MARINE WORKS INC,9583957,1920.0,1970.0
258,233  ,MARGINAL,ST,2128.0,384,BOSTON MARINE WORKS INC,9583957,1920.0,1970.0
259,233  ,MARGINAL,ST,2128.0,384,BOSTON MARINE WORKS INC,9583957,1920.0,1970.0
260,233  ,MARGINAL,ST,2128.0,384,BOSTON MARINE WORKS INC,9583957,1986.0,1988.0
261,233  ,MARGINAL,ST,2128.0,384,BOSTON MARINE WORKS INC,9583957,1945.0,1970.0
262,298  ,MARGINAL,ST,2128.0,336,298  MARGINAL STREET  LLC,121000,1920.0,1970.0
263,303  ,SUMNER,ST,2128.0,326,SUMNER THREE ZERO THREE LLC,198500,1900.0,2003.0
264,331  ,SUMNER,ST,2128.0,326,DONOVAN WALTER TS,204000,1930.0,2009.0
265,64  ,COTTAGE,ST,2128.0,326,HARKER JONATHAN,164500,1920.0,1990.0
266,330 332,SUMNER,ST,2128.0,320,GNERRE AMEDEO,290500,1925.0,2011.0
267,1  ,EVERETT,ST,2128.0,317,EVERETT DEVELOPMENT PARTNERS,623000,1925.0,2014.0
268,73  ,EVERETT,ST,2128.0,407,GUTIERREZ ESTHER TS,141000,1899.0,1970.0
269,77 79,EVERETT,ST,2128.0,317,TYLER MELISSA,99500,1929.0,1935.0
270,199  ,EVERETT,ST,2128.0,353,SASSO CARMELLA,141600,1899.0,1970.0
271,389  ,MAVERICK,ST,2128.0,326,LEITNER-LASERNA MONICA,147500,1940.0,2012.0
272,317  ,MAVERICK,ST,2128.0,332,CHIARADONNA DAVID,268000,1930.0,2013.0
273,255  ,MAVERICK,ST,2128.0,317,MAVERICK STREET LLC,310000,1930.0,1999.0
274,261  ,MAVERICK,ST,2128.0,317,ZIRPOLO JOHN V TS,288500,1930.0,2011.0
275,265 269,MAVERICK,ST,2128.0,332,TWO-65 MAVERICK ST LLC,823000,1910.0,1970.0
276,   ,MAVERICK,ST,2128.0,387,CORREALE RALPH J TS,258000,0.0,
277,287 293,MAVERICK,ST,2128.0,317,DICONSTANZO PROPERTIES LLC,294500,1920.0,1970.0
278,16  ,EVERETT,ST,2128.0,332,K & K DEVELOPMENT INC,499500,1919.0,2002.0
279,197 207,MAVERICK,ST,2128.0,325,MAF REALTY COMPANY LLC,745000,1978.0,
280,94  ,COTTAGE,ST,2128.0,387,CORSETTI DOMENIC S,18780,0.0,
281,90 92,COTTAGE,ST,2128.0,387,CORSETTI DOMENIC S,61820,0.0,
282,167  ,MAVERICK,ST,2128.0,320,167 & 169 MAVERICK STREET,85000,1950.0,
